,task_id,territory,geo_object_id,active_article_ids,wave,report_id,article_id
44,12308486,КЕМЕРОВО,16152,639126,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376671.0,639126.0
45,12237910,КЕМЕРОВО,16152,889480,lm_zs_2020_52_KVI_LOCAL-24-12-11,98377887.0,889480.0
46,12237910,КЕМЕРОВО,16152,889481,lm_zs_2020_52_KVI_LOCAL-24-12-11,98377888.0,889481.0
47,12237910,КЕМЕРОВО,16152,889482,lm_zs_2020_52_KVI_LOCAL-24-12-11,98377889.0,889482.0
48,12237904,КЕМЕРОВО,16152,1429584,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376658.0,1429584.0
49,12237904,КЕМЕРОВО,16152,1429654,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376659.0,1429654.0
50,12237904,КЕМЕРОВО,16152,1143588,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376660.0,1143588.0
51,12237904,КЕМЕРОВО,16152,678402,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376661.0,678402.0
52,12237904,КЕМЕРОВО,16152,630019,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376662.0,630019.0
53,12237904,КЕМЕРОВО,16152,1363112,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376663.0,1363112.0
54,12237904,КЕМЕРОВО,16152,953282,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376664.0,953282.0
55,12237904,КЕМЕРОВО,16152,1458913,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376665.0,1458913.0
56,12237904,КЕМЕРОВО,16152,1458914,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376666.0,1458914.0
57,12237904,КЕМЕРОВО,16152,1458915,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376667.0,1458915.0
58,12237904,КЕМЕРОВО,16152,1143589,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376668.0,1143589.0
59,12237904,КЕМЕРОВО,16152,707695,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376669.0,707695.0
60,12237904,КЕМЕРОВО,16152,1458916,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376670.0,1458916.0
61,12237904,КЕМЕРОВО,16152,639126,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376671.0,639126.0
62,12237904,КЕМЕРОВО,16152,1458879,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376672.0,1458879.0
63,12237904,КЕМЕРОВО,16152,678439,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376673.0,678439.0
64,12237918,КЕМЕРОВО,16152,1458880,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376509.0,1458880.0
65,12237918,КЕМЕРОВО,16152,1458881,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376510.0,1458881.0
66,12237918,КЕМЕРОВО,16152,1537698,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376511.0,1537698.0
67,12237918,КЕМЕРОВО,16152,1537680,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376512.0,1537680.0
68,12237918,КЕМЕРОВО,16152,1537699,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376513.0,1537699.0
69,12237918,КЕМЕРОВО,16152,1143564,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376514.0,1143564.0
70,12237918,КЕМЕРОВО,16152,707773,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376515.0,707773.0
71,12237918,КЕМЕРОВО,16152,818738,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376516.0,818738.0
72,12237918,КЕМЕРОВО,16152,779180,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376517.0,779180.0
73,12237918,КЕМЕРОВО,16152,1537700,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376518.0,1537700.0
74,12237918,КЕМЕРОВО,16152,629992,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376519.0,629992.0
75,12237918,КЕМЕРОВО,16152,707685,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376520.0,707685.0
76,12237918,КЕМЕРОВО,16152,1605516,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376521.0,1605516.0
77,12237918,КЕМЕРОВО,16152,1537681,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376522.0,1537681.0
78,12237918,КЕМЕРОВО,16152,1458884,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376523.0,1458884.0
79,12237918,КЕМЕРОВО,16152,1537702,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376524.0,1537702.0
80,12237918,КЕМЕРОВО,16152,1537703,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376525.0,1537703.0
81,12237918,КЕМЕРОВО,16152,1537704,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376526.0,1537704.0
82,12237918,КЕМЕРОВО,16152,1537682,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376527.0,1537682.0
83,12237918,КЕМЕРОВО,16152,1537705,lm_zs_2020_52_KVI_LOCAL-24-12-11,98376528.0,1537705.0
84,12238070,ЮРГА,17211,1429584,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374774.0,1429584.0
85,12238070,ЮРГА,17211,1429654,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374775.0,1429654.0
86,12238070,ЮРГА,17211,1143588,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374776.0,1143588.0
87,12238070,ЮРГА,17211,678402,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374777.0,678402.0
88,12238070,ЮРГА,17211,630019,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374778.0,630019.0
89,12238070,ЮРГА,17211,1363112,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374779.0,1363112.0
90,12238070,ЮРГА,17211,953282,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374780.0,953282.0
91,12238070,ЮРГА,17211,1458913,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374781.0,1458913.0
92,12238070,ЮРГА,17211,1458914,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374782.0,1458914.0
93,12238070,ЮРГА,17211,1458915,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374783.0,1458915.0
94,12238070,ЮРГА,17211,1143589,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374784.0,1143589.0
95,12238070,ЮРГА,17211,707695,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374785.0,707695.0
96,12238070,ЮРГА,17211,1458916,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374786.0,1458916.0
97,12238070,ЮРГА,17211,639126,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374787.0,639126.0
98,12238070,ЮРГА,17211,1458879,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374788.0,1458879.0
99,12238070,ЮРГА,17211,678439,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374789.0,678439.0
100,12238082,ЮРГА,17211,1458880,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374442.0,1458880.0
101,12238082,ЮРГА,17211,1458881,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374443.0,1458881.0
102,12238082,ЮРГА,17211,1537698,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374444.0,1537698.0
103,12238082,ЮРГА,17211,1537680,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374445.0,1537680.0
104,12238082,ЮРГА,17211,1537699,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374446.0,1537699.0
105,12238082,ЮРГА,17211,1143564,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374447.0,1143564.0
106,12238082,ЮРГА,17211,707773,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374448.0,707773.0
107,12238082,ЮРГА,17211,818738,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374449.0,818738.0
108,12238082,ЮРГА,17211,779180,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374450.0,779180.0
109,12238082,ЮРГА,17211,1537700,lm_zs_2020_52_KVI_LOCAL-24-12-11,98374451.0,1537700.0
